workload,mode,mean_s,stdev_s,trial1,trial2,trial3
hotspot,baseline,10.577926414329946,1.4047796999233333,12.173057879001135,10.035454219992971,9.525267143995734
hotspot,pilot,4.984296271994633,0.05906150674013419,5.017315233009867,5.019464375975076,4.916109206998954
backprop,baseline,3.3407977349997964,0.0867079865467374,3.419391445000656,3.355218162992969,3.247783597005764
backprop,pilot,4.794747008660731,0.029575842857149922,4.800068024982465,4.762871854007244,4.821301146992482
pathfinder,baseline,1.6544993583423395,0.002225605634352937,1.6536461590148974,1.6528265870001633,1.657025329011958
pathfinder,pilot,1.5769444599961087,0.016184830294771916,1.5619219350046478,1.594083367002895,1.5748280779807828
bfs,baseline,5.911300171001737,0.14953434446101357,6.0735627690155525,5.779044933005935,5.881292810983723
bfs,pilot,5.68725316732889,0.030843394632477362,5.659478740999475,5.720447138999589,5.681833621987607
srad_v2,baseline,3.285196688336631,0.009218544802836692,3.2867645430087578,3.275294760009274,3.2935307619918603
srad_v2,pilot,4.2695862286588335,0.06051218623609294,4.248228081007255,4.337881244980963,4.2226493599882815
lud,baseline,8.258342213317519,0.044640820578462526,8.29966273799073,8.2109936849738,8.264370216988027
lud,pilot,8.178389201348182,0.041337871214989885,8.221393066021847,8.174826620001113,8.138947918021586
heartwall,baseline,1.8682189836690668,0.016839643398259236,1.8858712979999837,1.8664547270163894,1.8523309259908274
heartwall,pilot,4.074849803330532,0.08386548940189628,4.112897790007992,3.9787045849952847,4.1329470349883195
nn,baseline,4.980743413005257,0.16421930277390123,5.13518301298609,4.80823832101305,4.998808905016631
nn,pilot,9.97640016199633,0.09761881273491371,9.992964534001658,10.06467701899237,9.871558932994958
nw,baseline,6.082531925329628,0.057238770351011596,6.021153934998438,6.091988078987924,6.134453762002522
nw,pilot,6.337761967326514,0.0637851900130525,6.410473911004374,6.3115686919773,6.29124329899787
