workload,mode,mean_s,stdev_s,trial1,trial2,trial3
hotspot,baseline,12.616666666666667,0.3082747692130081,12.27,12.72,12.86
hotspot,pilot,7.93,0.8072793816269555,8.0,8.7,7.09
backprop,baseline,3.5433333333333334,0.1001665280087781,3.62,3.43,3.58
backprop,pilot,4.3133333333333335,0.152752523165195,4.48,4.18,4.28
pathfinder,baseline,1.9066666666666665,0.07767453465154024,1.97,1.82,1.93
pathfinder,pilot,1.7366666666666666,0.11547005383792526,1.87,1.67,1.67
bfs,baseline,9.126666666666667,0.6027713773341704,9.76,8.56,9.06
bfs,pilot,6.346666666666667,0.07637626158259707,6.28,6.33,6.43
srad_v2,baseline,3.4633333333333334,0.0763762615825973,3.53,3.38,3.48
srad_v2,pilot,5.236666666666667,0.4816983841921554,5.74,4.78,5.19
lud,baseline,8.9,0.1664331697709325,8.83,8.78,9.09
lud,pilot,8.896666666666667,0.20816659994661352,8.83,9.13,8.73
heartwall,baseline,2.2066666666666666,0.15821925715074425,2.17,2.38,2.07
heartwall,pilot,4.2,0.0818535277187246,4.29,4.18,4.13
nn,baseline,5.386666666666667,0.13613718571108085,5.34,5.54,5.28
nn,pilot,3.9899999999999998,0.12124355652982138,4.13,3.92,3.92
nw,baseline,7.44,0.1499999999999999,7.29,7.59,7.44
nw,pilot,6.88,0.2598076211353312,6.73,6.73,7.18
